date,branch,product,mass,materials,lifeCycleStep,lifeCycleStepCountry,impact,value,norm_value_ecs
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,ior,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,ldu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,mru,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,ozd,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,pco,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,pma,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,swe,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,tre,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,ecs,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,pef,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,acd,0.0008965219423,0.8437739692
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,cch,0.3355335725,10.69271488
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,etf,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,fru,22.53379953,24.33489365
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,fwe,5.55E-05,0.8185449428
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,ior,8.206351495,82.25485959
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,ldu,5.2986,0.4331995929
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,mru,7.28E-07,0.729003297
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,ozd,4.39E-08,0.04366115353
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,pco,0.000712225046,0.7024775168
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,pma,1.81E-08,2.303924218
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,swe,0.0002552443284,0.3264795556
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,tre,0.00155929461,0.2761218709
